Concatenar;Status;Semi-acabado;Descrição Semi-acabado;Qtd Semi-acabado;Centro Semi-acabado;Matéria-Prima;Descrição Matéria-Prima;Qtd Matéria-Prima;UN Matéria-Prima;;;
7700042;SEMI ACABADO;700042;DEXAMETASONA+FUM.DE CLEMASTINA COMP;1.000.000;600;010731;FOSF.CAL.DIB.(COMPDIRETA); 63,000 ;KG;;;
8700042;SEMI ACABADO;700042;DEXAMETASONA+FUM.DE CLEMASTINA COMP;1.000.000;600;010739;LACTOSE (50/70); 65,000 ;KG;;;
9700042;SEMI ACABADO;700042;DEXAMETASONA+FUM.DE CLEMASTINA COMP;1.000.000;600;010953;TALCO; 2,000 ;KG;;;
1700056;SEMI ACABADO;700056;PIROXICAM 20MG CAPS;1.000.000;600;010311;ESTEARATO MAGNESIO; 1,333 ;KG;;;
2700056;SEMI ACABADO;700056;PIROXICAM 20MG CAPS;1.000.000;600;010469;LAURIL SULFATO SODIO (PO); 2,000 ;KG;;;
3700056;SEMI ACABADO;700056;PIROXICAM 20MG CAPS;1.000.000;600;010698;CAPS 1 AZUL / INCOLOR; 1.000.000,000 ;UN;;;
4700056;SEMI ACABADO;700056;PIROXICAM 20MG CAPS;1.000.000;600;010739;LACTOSE (50/70); 233,333 ;KG;;;
5700056;SEMI ACABADO;700056;PIROXICAM 20MG CAPS;1.000.000;600;010923;CROSCARMELOSE SODICA; 6,666 ;KG;;;
6700056;SEMI ACABADO;700056;PIROXICAM 20MG CAPS;1.000.000;600;011016;PIROXICAM(MICRONIZADO); 20,000 ;KG;;;
7700056;SEMI ACABADO;700056;PIROXICAM 20MG CAPS;1.000.000;600;010056;AMIDO; 36,660 ;KG;;;
1700071;SEMI ACABADO;700071;GELMAX COM MAST (SABOR LIMAO);300.000;600;010112;CARBONATO DE CALCIO (EXTRA LEVE); 70,500 ;KG;;;
2700071;SEMI ACABADO;700071;GELMAX COM MAST (SABOR LIMAO);300.000;600;010136;CICLAMATO SODIO; 2,100 ;KG;;;
3700071;SEMI ACABADO;700071;GELMAX COM MAST (SABOR LIMAO);300.000;600;010311;ESTEARATO MAGNESIO; 6,000 ;KG;;;
4700071;SEMI ACABADO;700071;GELMAX COM MAST (SABOR LIMAO);300.000;600;010445;HIDROXIDO ALUMINIO GEL SECO; 70,500 ;KG;;;
5700071;SEMI ACABADO;700071;GELMAX COM MAST (SABOR LIMAO);300.000;600;010448;HIDROXIDO MAGNESIO GEL SECO; 55,500 ;KG;;;
6700071;SEMI ACABADO;700071;GELMAX COM MAST (SABOR LIMAO);300.000;600;010483;MANITOL; 66,600 ;KG;;;
7700071;SEMI ACABADO;700071;GELMAX COM MAST (SABOR LIMAO);300.000;600;010575;SACARINA SODICA; 2,100 ;KG;;;
8700071;SEMI ACABADO;700071;GELMAX COM MAST (SABOR LIMAO);300.000;600;010953;TALCO; 6,000 ;KG;;;
