Estoques WM com texto breve de material

Nº depósito				WNM

		Material	Texto breve material		UMB	Lote	Cen.	Dep.	Tp.	Posiç	Estq.dispon.	Data venc.	Últ.movim.	T	Últ.entrd.
		010975	NIMESULIDA(MICRONIZADA)		KG	M5E0723-1	600	PES	999	AJU-SAIDA	      0,205	01.06.2030	28.08.2026	S	28.08.2026
		010975	NIMESULIDA(MICRONIZADA)		KG	M5E0722-1	600	PES	999	AJU-SAIDA	      0,345	01.06.2030	28.08.2026	S	28.08.2026
		010975	NIMESULIDA(MICRONIZADA)		KG	M5E0721-1	600	PES	999	AJU-SAIDA	      0,305	01.06.2030	26.08.2026	S	26.08.2026
		010975	NIMESULIDA(MICRONIZADA)		KG	M5E0719-1	600	PES	999	AJU-SAIDA	      0,665	01.06.2030	26.08.2026	S	26.08.2026
		010975	NIMESULIDA(MICRONIZADA)		KG	M5E0717-1	600	PES	999	AJU-SAIDA	      2,905	01.06.2030	28.08.2026	S	28.08.2026
		010975	NIMESULIDA(MICRONIZADA)		KG	M5E0617-1	600	PES	999	AJU-SAIDA	      1,233	01.06.2030	26.08.2026	S	26.08.2026
		010979	HPMC+PEG		KG	M5N1360	600	PES	999	AJU-SAIDA	      0,409	29.03.2028	26.08.2026	S	26.08.2026
		010979	HPMC+PEG		KG	M5B5072	600	PES	999	AJU-SAIDA	      0,007	03.08.2028	28.08.2026	S	28.08.2026
		011020	CELULOSE MIC(TIPO 101)		KG	M5K0648	600	PES	999	AJU-SAIDA	      0,758	01.02.2030	26.08.2026	S	26.08.2026
		011050	OXIDO FERRO AMARELO		KG	M5N0184	600	PES	999	AJU-SAIDA	      0,443	21.01.2031	28.08.2026	S	28.08.2026
		011054	CLARITROMICINA		KG	M5P7331-1	600	PES	999	AJU-SAIDA	      0,009	29.07.2029	26.08.2026	S	26.08.2026
		011054	CLARITROMICINA		KG	M5E3530-1	600	PES	999	AJU-SAIDA	      0,146	01.08.2030	26.08.2026	S	26.08.2026
		011054	CLARITROMICINA		KG	M5B2570-1	600	PES	999	AJU-SAIDA	      0,081	24.07.2029	26.08.2026	S	26.08.2026
		011054	CLARITROMICINA		KG	M5B2569-1	600	PES	999	AJU-SAIDA	      0,154	24.07.2029	26.08.2026	S	26.08.2026
		011054	CLARITROMICINA		KG	M4Y4053	600	PES	999	AJU-SAIDA	      0,012	01.05.2030	26.08.2026	S	26.08.2026
		011054	CLARITROMICINA		KG	M4W6666	600	PES	999	AJU-SAIDA	      0,184	01.03.2030	26.08.2026	S	26.08.2026
		011054	CLARITROMICINA		KG	M4V2309-1	600	PES	999	AJU-SAIDA	      0,004	01.03.2030	26.08.2026	S	26.08.2026
		011054	CLARITROMICINA		KG	M4V2308-1	600	PES	999	AJU-SAIDA	      0,021	01.03.2030	26.08.2026	S	26.08.2026
		011054	CLARITROMICINA		KG	M4V2306-1	600	PES	999	AJU-SAIDA	      0,004	01.12.2029	26.08.2026	S	26.08.2026
		011055	FANCICLOVIR		KG	M5J3215	600	PES	999	AJU-SAIDA	      0,001	05.12.2028	26.08.2026	S	26.08.2026
		011055	FANCICLOVIR		KG	M5O6622	600	PES	999	AJU-SAIDA	      0,057	26.02.2029	26.08.2026	S	26.08.2026
		011104	OMEPRAZOL PELLETE ENTERICO 8,5%P/P		KG	M3Z2339	600	PES	999	AJU-SAIDA	         25	01.08.2026	28.08.2026	S	28.08.2026
		011105	SINVASTATINA (MICRONIZADA)		KG	M4X1735-1	600	PES	999	AJU-SAIDA	      0,001	30.03.2029	26.08.2026	S	26.08.2026
		011105	SINVASTATINA (MICRONIZADA)		KG	M5P3396-1	600	PES	999	AJU-SAIDA	      0,001	01.03.2029	26.08.2026	S	26.08.2026
		011105	SINVASTATINA (MICRONIZADA)		KG	M5R0401-1	600	PES	999	AJU-SAIDA	      0,123	01.04.2029	28.08.2026	S	28.08.2026
		011117	BISGLICINATO FERROSO 20%		KG	M5E8354	600	PES	999	AJU-SAIDA	      0,040	09.09.2028	26.08.2026	S	26.08.2026
		011117	BISGLICINATO FERROSO 20%		KG	M5C2419	600	PES	999	AJU-SAIDA	      2,704	29.05.2028	28.08.2026	S	28.08.2026
		011117	BISGLICINATO FERROSO 20%		KG	M5A6849	600	PES	999	AJU-SAIDA	      0,020	18.05.2028	26.08.2026	S	26.08.2026
		011151	ACESULFAME-K		KG	M5M9200	600	PES	999	AJU-SAIDA	      0,129	18.08.2027	26.08.2026	S	26.08.2026
		011214	CAPS 2 CARAMELO/ROSA		UN	M4L4240	600	PES	999	AJU-SAIDA	107.276,576	08.07.2028	28.08.2026	S	28.08.2026
		011361	CAPS 2 BCO / BCO		UN	M5M3242	600	PES	999	AJU-SAIDA	  4.658,783	01.02.2031	26.08.2026	S	26.08.2026
		011361	CAPS 2 BCO / BCO		UN	M5M0981	600	PES	999	AJU-SAIDA	 12.777,451	01.02.2031	26.08.2026	S	26.08.2026
